Comment,Designator,Footprint,LCSC,Quantity
0.1μF,C5,C_01005_0402Metric,C133086,1
30 pF,"C10,C11",C_01005_0402Metric,C1570,2
CY7C65634-28LTXC,U1,QFN-28,C2951393,1
10μF,"C6,C8,C9",C_01005_0402Metric,C315248,3
0.1μF,"C1,C2,C3,C4",C_01005_0402Metric,C541406,4
046809610110846+ Male,J1,Kyocera_046809610110846+_PCB_Edge,C5464531,1
12MHz 20pF,Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,C596868,1
10kΩ,"R2,R3,R4,R5",R_0402_1005Metric,C71617,4
1kΩ,R7,R_0402_1005Metric,C71623,1
649Ω,R1,R_0402_1005Metric,C881120,1
0Ω,R6,R_0402_1005Metric,C881153,1
Conn_01x04_Socket,J3,4 pad,,1
046809610110846+ Female,J2,046809610110846,,1
